order_id,order_date,customer_id,amount
1,2025-07-14,1073.0,87.53
2,2025-07-14,1081.0,230.49
3,2025-07-14,1022.0,221.46
4,2025-07-14,1081.0,76.71
5,2025-07-14,1064.0,247.89
6,2025-07-14,1064.0,684.17
7,2025-07-14,1016.0,515.09
8,2025-07-14,1029.0,940.81
9,2025-07-14,1092.0,
10,2025-07-14,1088.0,505.56
11,2025-07-14,1082.0,620.54
12,2025-07-14,1005.0,713.26
13,2025-07-14,1009.0,369.44
14,2025-07-14,,997.91
15,2025-07-14,1066.0,696.03
16,2025-07-14,1018.0,400.41
17,2025-07-14,1051.0,494.01
18,2025-07-14,1097.0,984.78
19,2025-07-14,1063.0,399.5
20,2025-07-14,1030.0,581.25
21,2025-07-14,,770.75
22,2025-07-14,1041.0,141.79
23,2025-07-14,1078.0,255.96
24,2025-07-14,1028.0,46.69
25,2025-07-14,1005.0,
26,2025-07-14,1002.0,487.46
27,2025-07-14,1086.0,13.91
28,2025-07-14,1097.0,377.01
29,2025-07-14,1056.0,866.42
30,2025-07-14,,157.22
31,2025-07-14,1027.0,927.3
32,2025-07-14,1052.0,40.41
33,2025-07-14,,441.59
34,2025-07-14,1098.0,154.41
35,2025-07-14,1007.0,944.15
36,2025-07-14,1075.0,717.07
37,2025-07-14,1007.0,918.83
38,2025-07-14,1090.0,772.09
39,2025-07-14,1055.0,35.41
40,2025-07-14,1086.0,
41,2025-07-14,1067.0,26.11
42,2025-07-14,1070.0,582.44
43,2025-07-14,1040.0,371.58
44,2025-07-14,1069.0,762.01
45,2025-07-14,1084.0,474.59
46,2025-07-14,,222.9
47,2025-07-14,1040.0,557.46
48,2025-07-14,1064.0,451.4
49,2025-07-14,,170.98
50,2025-07-14,1071.0,971.05
51,2025-07-14,1089.0,357.2
52,2025-07-14,1050.0,482.58
53,2025-07-14,1001.0,555.33
54,2025-07-14,1003.0,189.44
55,2025-07-14,1013.0,194.72
56,2025-07-14,1077.0,620.04
57,2025-07-14,1085.0,
58,2025-07-14,1032.0,819.32
59,2025-07-14,1031.0,95.47
60,2025-07-14,1033.0,485.85
61,2025-07-14,1096.0,116.82
62,2025-07-14,1018.0,
63,2025-07-14,1033.0,666.35
64,2025-07-14,,322.17
65,2025-07-14,1002.0,132.14
66,2025-07-14,,353.17
67,2025-07-14,1002.0,718.62
68,2025-07-14,1042.0,70.87
69,2025-07-14,1040.0,220.23
70,2025-07-14,1083.0,22.42
71,2025-07-14,1060.0,582.48
72,2025-07-14,1083.0,189.53
73,2025-07-14,1051.0,322.03
74,2025-07-14,1086.0,982.37
75,2025-07-14,1020.0,724.58
76,2025-07-14,1080.0,281.37
77,2025-07-14,1017.0,941.58
78,2025-07-14,1090.0,632.63
79,2025-07-14,1018.0,975.06
80,2025-07-14,1026.0,
81,2025-07-14,,539.26
82,2025-07-14,1009.0,203.11
83,2025-07-14,1015.0,799.75
84,2025-07-14,1025.0,627.41
85,2025-07-14,1071.0,746.22
86,2025-07-14,1053.0,45.29
87,2025-07-14,1021.0,116.19
88,2025-07-14,1095.0,
89,2025-07-14,1043.0,526.84
90,2025-07-14,1076.0,109.49
91,2025-07-14,1082.0,107.38
92,2025-07-14,1091.0,
93,2025-07-14,1093.0,116.49
94,2025-07-14,1056.0,145.36
95,2025-07-14,1044.0,244.56
96,2025-07-14,1026.0,162.84
97,2025-07-14,1079.0,856.06
98,2025-07-14,1005.0,351.62
99,2025-07-14,1065.0,74.91
100,2025-07-14,1094.0,145.0
101,2025-07-14,1093.0,571.9
102,2025-07-14,1060.0,102.68
103,2025-07-14,1097.0,782.4
104,2025-07-14,1032.0,928.63
105,2025-07-14,1023.0,146.19
106,2025-07-14,1082.0,
107,2025-07-14,1075.0,745.21
108,2025-07-14,1062.0,
109,2025-07-14,1080.0,180.18
110,2025-07-14,1067.0,247.36
111,2025-07-14,1055.0,21.28
112,2025-07-14,1086.0,
113,2025-07-14,1098.0,272.46
114,2025-07-14,1021.0,653.31
115,2025-07-14,,28.18
116,2025-07-14,1019.0,44.8
117,2025-07-14,,894.35
118,2025-07-14,,161.11
119,2025-07-14,1027.0,835.22
120,2025-07-14,1045.0,253.18
121,2025-07-14,1049.0,388.26
122,2025-07-14,1077.0,744.34
123,2025-07-14,1025.0,497.31
124,2025-07-14,1038.0,787.41
125,2025-07-14,1009.0,599.5
126,2025-07-14,1095.0,
127,2025-07-14,1007.0,998.68
128,2025-07-14,1002.0,722.93
129,2025-07-14,1031.0,443.39
130,2025-07-14,1083.0,44.77
131,2025-07-14,1067.0,947.2
132,2025-07-14,1076.0,208.07
133,2025-07-14,1002.0,763.43
134,2025-07-14,1036.0,83.22
135,2025-07-14,1080.0,757.17
136,2025-07-14,1048.0,62.85
137,2025-07-14,1005.0,730.28
138,2025-07-14,1089.0,893.75
139,2025-07-14,1063.0,755.82
140,2025-07-14,1031.0,992.16
141,2025-07-14,1093.0,491.94
142,2025-07-14,1079.0,826.77
143,2025-07-14,1025.0,963.11
144,2025-07-14,1066.0,192.52
145,2025-07-14,1036.0,200.88
146,2025-07-14,1054.0,754.56
147,2025-07-14,1052.0,324.85
148,2025-07-14,1020.0,816.38
149,2025-07-14,1049.0,204.86
150,2025-07-14,1061.0,34.51
151,2025-07-14,1052.0,925.82
152,2025-07-14,1073.0,607.45
153,2025-07-14,1067.0,386.5
154,2025-07-14,1050.0,395.38
155,2025-07-14,1083.0,704.64
156,2025-07-14,1055.0,545.44
157,2025-07-14,1040.0,18.22
158,2025-07-14,,495.33
159,2025-07-14,1019.0,387.01
160,2025-07-14,1068.0,201.07
161,2025-07-14,1033.0,36.28
162,2025-07-14,1036.0,879.76
163,2025-07-14,1024.0,170.29
164,2025-07-14,1043.0,225.82
165,2025-07-14,1016.0,337.0
166,2025-07-14,1045.0,758.46
167,2025-07-14,1073.0,675.46
168,2025-07-14,1076.0,246.6
169,2025-07-14,1035.0,710.77
170,2025-07-14,1097.0,771.68
171,2025-07-14,1034.0,644.72
172,2025-07-14,1081.0,583.21
173,2025-07-14,1012.0,228.82
174,2025-07-14,1096.0,
175,2025-07-14,1011.0,689.03
176,2025-07-14,1000.0,721.36
177,2025-07-14,1018.0,699.72
178,2025-07-14,1076.0,311.23
179,2025-07-14,1028.0,148.71
180,2025-07-14,1073.0,480.51
181,2025-07-14,1033.0,880.62
182,2025-07-14,1045.0,228.16
183,2025-07-14,1076.0,533.61
