order_id,order_date,customer_id,amount
1,2025-07-11,1039.0,403.31
2,2025-07-11,1070.0,476.25
3,2025-07-11,1054.0,150.03
4,2025-07-11,1058.0,
5,2025-07-11,1017.0,160.06
6,2025-07-11,1056.0,438.8
7,2025-07-11,1041.0,556.77
8,2025-07-11,1089.0,
9,2025-07-11,1011.0,610.4
10,2025-07-11,1069.0,348.14
11,2025-07-11,1008.0,214.53
12,2025-07-11,1079.0,254.29
13,2025-07-11,1079.0,784.21
14,2025-07-11,1063.0,608.92
15,2025-07-11,1004.0,707.71
16,2025-07-11,1094.0,660.02
17,2025-07-11,1081.0,416.83
18,2025-07-11,1080.0,771.56
19,2025-07-11,1026.0,602.06
20,2025-07-11,1080.0,941.01
21,2025-07-11,1025.0,554.58
22,2025-07-11,1077.0,348.54
23,2025-07-11,1024.0,555.8
24,2025-07-11,1003.0,584.95
25,2025-07-11,1057.0,76.05
26,2025-07-11,1088.0,623.0
27,2025-07-11,1051.0,623.14
28,2025-07-11,1064.0,431.3
29,2025-07-11,,414.29
30,2025-07-11,1037.0,577.46
31,2025-07-11,1086.0,796.23
32,2025-07-11,1081.0,358.91
33,2025-07-11,1091.0,333.21
34,2025-07-11,1069.0,195.56
35,2025-07-11,1031.0,34.72
36,2025-07-11,1026.0,865.96
37,2025-07-11,1007.0,242.32
38,2025-07-11,1040.0,647.86
39,2025-07-11,1052.0,378.67
40,2025-07-11,1070.0,43.74
41,2025-07-11,1054.0,357.85
42,2025-07-11,1079.0,328.97
43,2025-07-11,1064.0,798.26
44,2025-07-11,1079.0,783.2
45,2025-07-11,1070.0,728.23
46,2025-07-11,1085.0,177.74
47,2025-07-11,1051.0,660.98
48,2025-07-11,1061.0,472.77
49,2025-07-11,1019.0,621.82
50,2025-07-11,1085.0,934.39
51,2025-07-11,1002.0,858.5
52,2025-07-11,1008.0,618.58
53,2025-07-11,1097.0,878.75
54,2025-07-11,1005.0,720.05
55,2025-07-11,,471.32
56,2025-07-11,1097.0,
57,2025-07-11,1047.0,891.75
58,2025-07-11,1027.0,978.65
59,2025-07-11,1035.0,513.36
60,2025-07-11,,21.71
61,2025-07-11,1058.0,680.76
62,2025-07-11,1095.0,948.76
63,2025-07-11,1005.0,365.23
64,2025-07-11,1072.0,924.22
65,2025-07-11,1057.0,444.62
66,2025-07-11,,628.15
